#id	Family_cod	Family	family_description	family_type	specie
RF00106	RNAI	RNAI	Gene; antisense;	Eukaryota; Bacteria; Viruses; 	RNAI is an antisense repressor of the replication of some E. coli plasmids, including ColE1. Plasmid replication is usually initiated by RNAII, which acts as a primer by binding to its template DNA. The complementary RNAI binds RNAII prohibiting it from its initiation role. The rate of degradation of RNAI is therefore a major factor in control of plasmid replication. This rate of degradation is aided by the pcnB (plasmid copy number B) gene product, which polyadenylates the 3' end of RNAI targeting it for degradation by PNPase. Please note: This family contains subsequences annotated as human (Z96734), Arabidopsis (AB003142), Xenopus (X91243) and S. pombe (L25927, L25928), which match with highly significant scores. These eukaryotic matches are almost certainly the result of vector contamination.
RF00107	FinP	FinP	Gene;	Bacteria; 	The FinOP system regulates the transfer of F-like plasmids. FinP encodes an antisense RNA product that is complementary to part of the 5' UTR of the traJ mRNA. The traJ gene encodes a protein required for transcription from the major transfer promoter, pY. The FinO protein is essential for effective repression, acting by binding to FinP and protecting it from RNase E degradation.
RF00108	SNORD116	Small nucleolar RNA SNORD116	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	HBII-85 is a member of the C/D class of snoRNAs, which contain the C (UGAUGA) and D (CUGA) box motifs. HBII-85 is encoded in a tandemly repeated array with another C/D snoRNA, HBII-52, in the Prader-Willi syndrome (PWS) region of chromosome 15. Unlike most other snoRNAs, HBII-85 is expressed prevalently in the brain (but is absent in PWS patients) and lacks any significant complementarity with ribosomal RNA.
RF00109	Vimentin3	Vimentin 3' UTR protein-binding region	Cis-reg;	Eukaryota; 	The 3' UTR of the vimentin mRNA contains a Y shaped structure which has been shown to have protein binding activity [1]. The same region has been implicated in the control of mRNA localisation to the perinuclear region of the cytoplasm, possibly at sites of intermediate filament assembly [2]. The identity of the proteins involved and the localisation mechanism are not known.
RF00110	RybB	RybB RNA	Gene; sRNA;	Eukaryota; Bacteria; 	This ncRNA was identified in a large scale screen of E. coli [1]. The function of this short RNA is unknown. The exact 5' and 3' ends of this RNA are uncertain.
RF00111	RyeB	RyeB RNA	Gene; sRNA;	Eukaryota; Bacteria; 	This ncRNA was identified in a large scale screen of E. coli [1]. The exact 5' and 3' ends of this RNA are uncertain. This RNA overlaps RFAM:RF00101 on the opposite strand suggesting that the two may act in a concerted manner.
RF00112	CyaR_RyeE	CyaR/Rye RNA	Gene; sRNA;	Eukaryota; Bacteria; Viruses; 	This sRNA was originally identified in a large scale screen of E. coli. It was shown to bind Hfq and called RyeE [1]. This sRNA has since been characterised as a post-transcriptional regulator of the 18 kDa OmpX porin in Salmonella [2]. Phylogenetic and mutational analyses suggest that a conserved RNA hairpin of this sRNA which features a C-rich apical loop, acts to sequester the Shine-Dalgarno sequence of ompX mRNA and inhibits translational initiation [2]. The expression of this sRNA has been shown to be tightly controlled by the cyclic AMP receptor protein, CRP and has been renamed CyaR (cyclic AMP-activated RNA)[2]. CyaR appears to be highly conserved amongst enterobacteria and the cyaR gene is frequently located downstream of the yegQ gene.
RF00113	SIB_RNA	Short Intergenic Abundant RNA	Gene; antitoxin;	Eukaryota; Bacteria; 	This family contains multiple ncRNA from E. coli that were identified in a large scale screen of E. coli, were they were called candidates 43,55 and 61 [1]. These RNAs have also been identified by other groups and called QUAD RNAs.
RF00114	S15	Ribosomal S15 leader	Cis-reg; leader;	Eukaryota; Bacteria; 	The E. coli Ribosomal S15 gene 5' UTR can form two alternative structures. One that is a series of three hairpins, The other includes a pseudoknot. This structure causes translational regulation of the S15 protein. The alignment of this family contains only the final two hairpins which are conserved in other species, and also includes the complete region that forms the alternate structures.
RF00115	IS061	IS061 RNA	Gene; sRNA;	Eukaryota; Bacteria; 	This family consists of several bacterial RNA genes of 181 bases in length which are found between the abgR and ydaL genes in Escherichia coli and Shigella flexneri. The function of this family is unknown.
RF00116	C0465	C0465 RNA	Gene; sRNA;	Bacteria; 	This family consists of a number of bacterial RNA genes of 78 bases in length which are found between the tar and cheW genes in E. coli and Shigella flexneri. The function of this RNA is unknown.
RF00117	C0719	C0719 RNA	Gene; sRNA;	Eukaryota; Bacteria; 	This family consists of a number of bacterial RNA genes, of 222 bases in length, which are found between the yghK and glcB genes in both Shigella flexneri and Escherichia coli. The function of this RNA is unknown.
RF00118	rydB	rydB RNA	Gene; sRNA;	Eukaryota; Bacteria; 	This family consists of several bacterial sequences from E. coli, Shigella flexneri and Salmonella species. This RNA gene was discovered by an RNA screen [1] between the ydiC and ydiH in E. coli. This gene is only 67 bases in length and is composed of a hairpin like structure. The function of this RNA is unknown.
RF00119	C0299	C0299 RNA	Gene; sRNA;	Bacteria; 	This family consists of a group of Shigella flexneri and Escherichia coli RNA genes which are 78 bases in length and are found between the hlyE and umuD genes. The function of this RNA is unknown.
RF00121	MicC	MicC RNA	Gene; sRNA;	Bacteria; 	MicC (previously known as IS063 [1]) is located between the ompN and ydbK genes in E. coli. This family is thought to be a regulator of OmpC expression. Along with Rfam:RF00033 this family may act in conjunction with EnvZ-OmpR two-component system to control the OmpF/OmpC protein ratio in response to a variety of environmental stimuli [2].
RF00122	GadY	GadY	Gene; sRNA;	Bacteria; 	This family represents a GadY RNA (previous named IS183 in [1]). GadY can form base pairs with the 3' UTR of its target mRNA gadX, this pairing is thought to confer increased stability to the transcript, allowing accumulation of gadX (a transcriptional regulator of the acid response) and therefore increased expression of downstream acid resistance genes [2].
RF00124	IS102	IS102 RNA	Gene; sRNA;	Bacteria; 	This family consists of a group of Shigella flexneri and Escherichia coli RNA genes which are 208 bases in length and are found between the yeeP and flu genes. The function of this RNA is unknown.
RF00125	IS128	IS128 RNA	Gene; sRNA;	Eukaryota; Bacteria; 	This family consists of a number of bacterial RNA genes of 209 bases in length. The IS128 RNA gene is present in Escherichia coli and Shigella flexneri and where it is found between the sseA and sseB genes. The function of this RNA is unknown.
RF00126	ryfA	ryfA RNA	Gene; sRNA;	Eukaryota; Bacteria; 	This family consists of a number of bacterial RNA genes of 305 bases in length. The ryfA RNA gene is present in E. coli, Shigella flexneri and Salmonella species where it is found between the ydaN and dbpA genes. The function of this RNA is unknown.
RF00127	t44	t44 RNA	Gene; sRNA;	Eukaryota; Bacteria; 	This family consists of a number of bacterial RNA genes of between 135 and 170 bases in length. The t44 gene has been identified in several species of enteric bacteria but homologs have also been identified in Pseudomonas and Coxiella species. The t44 gene is found between the map and rpsB genes in all species in the full alignment apart from Shigella flexneri. The function of this RNA is unknown.
RF00128	GlmY_tke1	Glm Y RNA activator of glmS mRNA	Gene; sRNA;	Eukaryota; Bacteria; 	This family consists of a number of bacterial RNA genes of around 167 bases in length. The tke1 RNA gene is present in Escherichia coli, Shigella flexneri, Yersinia pestis and Salmonella species where it is found between the yfhK and purL genes. The function of this RNA is unknown.
RF00129	mir-103	mir-103/107 microRNA precursor	Gene; miRNA;	Eukaryota; 	This family consists of the mammalian microRNA (miRNA) precursors mir-103 and mir107. Animal miRNAs are transcribed as ~70nt precursors and subsequently processed by the Dicer enzyme to give a ~22nt product. In this case the mature sequence comes from the 3' arm of the precursor. The extents of the hairpin precursors are not generally known and are estimated based on hairpin prediction. The products are thought to have regulatory roles through complementarity to mRNA. The involvement of Dicer in miRNA processing suggests a relationship with the phenomenon of RNA interference. miRNAs are numbered based on the sequence of the mature RNA.
RF00130	mir-192	mir-192/215 microRNA precursor	Gene; miRNA;	Eukaryota; 	This family represents the human microRNA (miRNA) precursors mir-192 and mir-215. Animal miRNAs are transcribed as ~70nt precursors and subsequently processed by the Dicer enzyme to give a ~22nt product. In this case the mature sequence comes from the 5' arm of the precursor. The extents of the hairpin precursors are not generally known and are estimated based on hairpin prediction. The products are thought to have regulatory roles through complementarity to mRNA. The involvement of Dicer in miRNA processing suggests a relationship with the phenomenon of RNA interference. miRNAs are numbered based on the sequence of the mature RNA.
RF00131	mir-30	mir-30 microRNA precursor	Gene; miRNA;	Eukaryota; 	This family consists of the mammalian microRNA (miRNA) precursor mir-30a. Animal miRNAs are transcribed as ~70nt precursors and subsequently processed by the Dicer enzyme to give a ~22nt product. In this case the mature sequence comes from both the 3' (miR-30) [1] and 5' (mir-97-6) [2] arms of the precursor. The extents of the hairpin precursors are not generally known and are estimated based on hairpin prediction. The products are thought to have regulatory roles through complementarity to mRNA. The involvement of Dicer in miRNA processing suggests a relationship with the phenomenon of RNA interference. miRNAs are numbered based on the sequence of the mature RNA.
RF00132	snoR24	Small nucleolar RNA R24	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	snoR24 is a C/D box small nucleolar RNA which acts as a methylation guide for 18S ribosomal RNA in plants [1].
RF00133	SNORD33	Small nucleolar RNA Z195/SNORD33/SNORD32 family	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	Members of this family belong to the C/D box class of small nucleolar RNA which contain C (UGAUGA) and D (CUGA) box motifs. This family includes plant snoRNA Z195, human snoRNAs SNORD33 (U33) and SNORD32 (U32). snoRNA U33 is found in intron 4 of the ribosomal protein L13a gene in humans and is also present in mice. Most of the members of the box C/D family function in directing site-specific 2'-O-methylation of substrate RNAs. Although the selection of the target nucleotide requires the antisense element and the conserved box D or D' of the snoRNA, the methyltransferase activity is supposed to reside in one of the protein components [3].
RF00134	snoZ196	Small nucleolar RNA Z196/R39/R59 family	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	This family includes plant snoRNA snoZ196 and yeast snoRNAs R39 and R59. Members of this family belong to the C/D box class of snoRNA which contain C (UGAUGA) and D (CUGA) box motifs. Most of the members of the box C/D family function in directing site-specific 2'-O-methylation of substrate RNAs. snoZ196 acts as a methylation guide for 18S ribosomal RNA in plants [1].Although the selection of the target nucleotide requires the antisense element and the conserved box D or D' of the snoRNA, the methyltransferase activity is supposed to reside in one of the protein components [4].
RF00135	snoZ223	Small nucleolar RNA Z223	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	snoRNA Z223 is a member of the C/D class of snoRNA which contain the C (UGAUGA) and D (CUGA) box motifs identified in rice. C/D box small nucleolar RNAs are known to act as a methylation guides for 18S ribosomal RNA in plants [1].
RF00136	SNORD81	Small nucleolar RNA SNORD81	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	U81 is a member of the C/D class of snoRNA which contain the C (UGAUGA) and D (CUGA) box motifs. U81 acts as a guanine methylation guide and is found in intron 11 of the gas5 gene in mammals [1]. This RNA has also been called Z23 snoRNA.
RF00137	SNORD83	Small nucleolar RNA SNORD83	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	U83 (SNORD83) and U84 (SNORD84) are members of the C/D class of snoRNA which contain the C (UGAUGA) and D (CUGA) box motifs. They act as guanine methylation guides but lack complementarity to ribosomal RNA [1]. U83 and U84 are spliced from introns 5 and 4 of the BAT1 gene in mammals.
RF00138	SNORD16	Small nucleolar RNA SNORD16	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	U16 is a member of the C/D class of snoRNA which contain the C (UGAUGA) and D (CUGA) box motifs. U81 acts as a guanine methylation guide and is found in an intron of ribosomal proteins L1 gene in animals [1]. This snoRNA was independently named MBII-98 in mouse [2].
RF00139	SNORA72	Small nucleolar RNA SNORA72	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	U72 is a member of the H/ACA class of snoRNAs. The snoRNA gene is located in intron 4 of the ribosomal L30 protein gene in human, mouse and chicken.
RF00140	Alpha_RBS	Alpha operon ribosome binding site	Cis-reg;	Eukaryota; Bacteria; 	The bacterial alpha operon ribosome binding site is surrounded by this complex pseudoknotted structure. Translation of the mRNA produces 4 ribosomal protein products, one of which (S4) acts as a translational repressor by binding to the nested pseudoknot region. The mechanism of repression is thought to involve a conformational switch in the pseudoknot region and ribosome entrapment [1].
RF00142	snoZ118	Small nucleolar RNA Z118/Z121/Z120	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	This family consists of several snoRNA Z118, Z121 and Z120 sequences which are members of the C/D class of snoRNA which contain the C (UGAUGA) and D (CUGA) box motifs. This family seems to be found exclusively in rice. C/D box small nucleolar RNAs are known to act as a methylation guides for 18S ribosomal RNA in plants [1].
RF00143	mir-6	mir-6 microRNA precursor	Gene; miRNA;	Eukaryota; 	This family consists of the microRNA (miRNA) precursor mir-6 which appears to be Drosophila specific. Animal miRNAs are transcribed as ~70nt precursors and subsequently processed by the Dicer enzyme to give a ~22nt product. In this case the mature sequence comes from the 3' arm of the precursor. The extents of the hairpin precursors are not generally known and are estimated based on hairpin prediction. The products are thought to have regulatory roles through complementarity to mRNA. The involvement of Dicer in miRNA processing suggests a relationship with the phenomenon of RNA interference. miRNAs are numbered based on the sequence of the mature RNA.
RF00144	mir-199	mir-199 microRNA precursor	Gene; miRNA;	Eukaryota; 	This family consists of the microRNA (miRNA) precursor mir-199 which appears to be specific to humans. Animal miRNAs are transcribed as ~70nt precursors and subsequently processed by the Dicer enzyme to give a ~22nt product. In this case the mature sequence comes from the 3' arm of the precursor. The extents of the hairpin precursors are not generally known and are estimated based on hairpin prediction. The products are thought to have regulatory roles through complementarity to mRNA. The involvement of Dicer in miRNA processing suggests a relationship with the phenomenon of RNA interference. miRNAs are numbered based on the sequence of the mature RNA.
RF00145	snoZ105	Small nucleolar RNA Z105	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	This family consists of several snoRNA Z105 sequences which are members of the C/D class of snoRNA which contain the C (UGAUGA) and D (CUGA) box motifs. This family seems to be found exclusively in plants. C/D box small nucleolar RNAs are known to act as a methylation guides for 18S ribosomal RNA [1].
RF00147	SNORD34	Small nucleolar RNA SNORD34	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	snoRNA U34 is found in intron 5 of the ribosomal protein L13a gene in humans. U34 is a member of the C/D class of snoRNA which contain C (UGAUGA) and D (CUGA) box motifs, and functions in directing site-specific 2'-O-methylation of 25S rRNAs. Although the selection of the target nucleotide requires the antisense element and the conserved box D or D' of the snoRNA, the methyltransferase activity is thought to reside in one of the protein components [1]. U34 snoRNA has homologues in mouse, Arabidopsis (annotated as snoR4) and in several copies in rice (alternatively named snoZ181) [2]. This family also contains a putative homologue in Drosophila (Griffiths-Jones SR, pers. obs.).
RF00149	snoZ103	Small nucleolar RNA Z103	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	This family consists of several snoRNA Z103 sequences which are members of the C/D class of snoRNA which contain the C (UGAUGA) and D (CUGA) box motifs. This family seems to be found exclusively in plants. C/D box small nucleolar RNAs are known to act as a methylation guides for 18S ribosomal RNA [1].
RF00150	SNORD42	Small nucleolar RNA SNORD42	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	snoRNA U42 is found in intron 3 of the ribosomal protein L23a (RPL23a) gene in humans and is also present in mice. U42 is a member of the C/D class of snoRNA which contain C (UGAUGA) and D (CUGA) box motifs. Most of the members of the box C/D family function in directing site-specific 2'-O-methylation of substrate RNAs. Although the selection of the target nucleotide requires the antisense element and the conserved box D or D' of the snoRNA, the methyltransferase activity is supposed to reside in one of the protein components [1].
RF00151	SNORD58	Small nucleolar RNA SNORD58	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	snoRNA U58 is found in introns 1, 3 and 6 of the ribosomal protein RPL17 gene in humans. U58 is a member of the C/D class of snoRNA which contain C (UGAUGA) and D (CUGA) box motifs. Most of the members of the box C/D family function in directing site-specific 2'-O-methylation of substrate RNAs. U58A and U58B are predicted to guide 2'O-ribose methylation of the large 28S rRNA subunit on position G4198 [2]. Although the selection of the target nucleotide requires the antisense element and the conserved box D or D' of the snoRNA, the methyltransferase activity is supposed to reside in one of the protein components [1].
RF00152	SNORD79	Small nucleolar RNA SNORD79	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	snoRNA U79 or Z22 is found in intron 7 of the gas5 gene in humans and is also present in mice. U79 is a member of the C/D class of snoRNA which contain C (UGAUGA) and D (CUGA) box motifs. Most of the members of the C/D box family function in directing site-specific 2'-O-methylation of substrate RNAs. Although the selection of the target nucleotide requires the antisense element and the conserved box D or D' of the snoRNA, the methyltransferase activity is supposed to reside in one of the protein components [1].
RF00153	SNORD62	Small nucleolar RNA SNORD62	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	snoRNA U62 is found in both humans and mice. U62 is a member of the C/D class of snoRNA which contain C (UGAUGA) and D (CUGA) box motifs. Most of the members of the box C/D family function in directing site-specific 2'-O-methylation of substrate RNAs. Although the selection of the target nucleotide requires the antisense element and the conserved box D or D' of the snoRNA, the methyltransferase activity is supposed to reside in one of the protein components [1].
RF00154	SNORD63	Small nucleolar RNA SNORD63	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	snoRNA U63 is found in both humans and mice. U63 is a member of the C/D class of snoRNA which contain C (UGAUGA) and D (CUGA) box motifs. Most of the members of the box C/D family function in directing site-specific 2'-O-methylation of substrate RNAs. Although the selection of the target nucleotide requires the antisense element and the conserved box D or D' of the snoRNA, the methyltransferase activity is supposed to reside in one of the protein components [1].
RF00155	SNORA66	Small nucleolar RNA SNORA66	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	snoRNA U66 is found in both humans and mice. U66 is a member of the H/ACA class of snoRNA which contain H (ANANNA) and ACA box motifs. H/ACA box snoRNAs are involved in the conversion of uridines to pseudouridines (5-ribosyluracil) a constituent of structural RNAs (transfer, ribosomal, small nuclear, and small nucleolar) [1,2].
RF00156	SNORA70	Small nucleolar RNA SNORA70	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	snoRNA U70 seems to be exclusive to mammals and is a member of the H/ACA class of snoRNA which contain H (ANANNA) and ACA box motifs. H/ACA box snoRNAs are involved in the conversion of uridines to pseudouridines (5-ribosyluracil) a constituent of structural RNAs (transfer, ribosomal, small nuclear, and small nucleolar) [1,2].
RF00157	SNORD39	Small nucleolar RNA SNORD55/SNORD39	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	snoRNA U39 (SNORD55), also described as U55 in [2], is a member of the C/D class of snoRNA which contain C (UGAUGA) and D (CUGA) box motifs [1]. U39 guides the methylation of 2'-O-ribose residues in 28S ribosomal RNA [1].
RF00158	SNORD82	Small nucleolar RNA SNORD82	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	snoRNA U82 or Z25 is found in both humans and mice. U82/Z25 is a member of the C/D class of snoRNA which contain C (UGAUGA) and D (CUGA) box motifs. Most of the members of the box C/D family function in directing site-specific 2'-O-methylation of substrate RNAs. Although the selection of the target nucleotide requires the antisense element and the conserved box D or D' of the snoRNA, the methyltransferase activity is supposed to reside in one of the protein components [1].
RF00159	snoZ168	Small nucleolar RNA Z168/Z174	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	This family consists of several snoRNA Z168 and Z174 sequences which are members of the C/D class of snoRNA which contain the C (UGAUGA) and D (CUGA) box motifs. This family seems to be found exclusively in rice. C/D box small nucleolar RNAs are known to act as a methylation guides for 18S ribosomal RNA in plants [1].
RF00160	snoZ159	Small nucleolar RNA Z159/U59	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	This family consists of several snoRNA Z159 or U59 sequences which are members of the C/D class of snoRNA which contain the C (UGAUGA) and D (CUGA) box motifs. This family seems to be found exclusively in rice. C/D box small nucleolar RNAs are known to act as a methylation guides for 18S ribosomal RNA in plants [1].
RF00161	nos_TCE	Nanos 3' UTR translation control element	Cis-reg;	Eukaryota; 	The Nanos protein in Drosophila is required for correct anterior/posterior patterning in the Drosophila embryo. Translation of the nanos mRNA is repressed in the bulk cytoplasm and activated in the posterior region. Repression is mediated by a translation control element (TCE) in the 3' UTR of the mRNA. This element forms a Y-shaped structure, part of which is recognised by the Smaug protein leading to translational repression [1].
RF00162	SAM	SAM riboswitch (S box leader)	Cis-reg; riboswitch;	Eukaryota; Bacteria; Viruses; 	The SAM riboswitch is found upstream of a number of genes which code for proteins involved in methionine or cysteine biosynthesis in Gram-positive bacteria. The SAM riboswitch acts at the level of transcription termination control. The predicted structure consists of a complex stem-loop region followed by a single stem loop terminator region. An alternative and mutually exclusive form involves bases in the 3' segment of helix 1 with those in the 5' region of helix 5 to form a structure termed the anti-terminator form [1]. This entry represents the conserved core of the complex structure involving helices 1-4.
RF00163	Hammerhead_1	Hammerhead ribozyme (type I)	Gene; ribozyme;	Eukaryota; Viroids; 	The hammerhead ribozyme is one of the smallest catalytic RNAs. These RNAs have an endonuclease function, and most often are autocatalytic. Structurally it is composed of three base paired helices, separated by short linkers of conserved sequence. These helices are called I, II and III. We have classified hammerhead ribozymes into three types based on which helix the 5' and 3' ends of the sequence join. This family are the type I hammerheads. The conserved uridine-turn links helix I to helix II and usually has the sequence CUGA. Helix II and III are linked by a sequence CGAAA. The cleavage reaction occurs between helix III and I, and is usually a C. Hammerhead ribozymes are found in plant viroids and other small replicating satellite RNA species. Hammerhead ribozymes have been found in animals as well as plants.
RF00164	s2m	Coronavirus 3' stem-loop II-like motif (s2m)	Cis-reg;	Eukaryota; Viruses; 	The s2m motif is found in the 3' UTRs of astrovirus, coronavirus and equine rhinovirus genomes [1]. Its function is unknown, but various viral 3' UTR regions have been found to play roles in viral replication and packaging.
RF00165	Corona_pk3	Coronavirus 3' UTR pseudoknot	Cis-reg;	Viruses; 	Coronaviruses are plus-strand RNA viruses with ~30kb genomes. The 3' UTR region of coronavirus genomes contains a conserved ~55nt pseudoknot structure which has been shown to be necessary for viral genome replication [1]. The mechanism of cis-regulation is unclear, but this element is postulated to function in the plus-strand.
RF00166	PrrB_RsmZ	PrrB/RsmZ RNA family	Gene; sRNA;	Bacteria; 	PrrB RNA is able to phenotypically complement gacS and gacA mutants and is itself regulated by the GacS-GacA two-component signal transduction system [1]. Inactivation of the prrB gene in Pseudomonas fluorescens F113 resulted in a significant reduction of 2, 4-diacetylphloroglucinol (Phl) and hydrogen cyanide (HCN) production, while increased metabolite production was observed when prrB was overexpressed [1]. The prrB gene sequence contains a number of imperfect repeats of the consensus sequence 5'-AGGA-3', and sequence analysis predicted a complex secondary structure featuring multiple putative stem-loops with the consensus sequences predominantly positioned at the single-stranded regions at the ends of the stem-loops. This structure is similar to the CsrB and RsmB regulatory RNAs Rfam:RF00018 [1], suggesting this RNA also interacts with a CsrA-like protein.
RF00167	Purine	Purine riboswitch	Cis-reg; riboswitch;	Eukaryota; Bacteria; 	Riboswitches are metabolite binding domains within certain messenger RNAs that serve as precision sensors for their corresponding targets. Allosteric rearrangement of mRNA structure is mediated by ligand binding, and this results in modulation of gene expression. A class of riboswitches that selectively recognises guanine and becomes saturated at concentrations as low as 5 nM. In Bacillus subtilis, this mRNA motif is located on at least five separate transcriptional units that together encode 17 genes that are mostly involved in purine transport and purine nucleotide biosynthesis. It has also been shown that some members of this family are specific for adenine instead. Hence this family are termed purine riboswitches.
RF00168	Lysine	Lysine riboswitch	Cis-reg; riboswitch;	Eukaryota; Bacteria; 	Riboswitches are metabolite binding domains within certain messenger RNAs that serve as precision sensors for their corresponding targets. Allosteric rearrangement of mRNA structure is mediated by ligand binding, and this results in modulation of gene expression. This family includes riboswitches that sense lysine [1] in a number of genes involved in lysine metabolism, including lysC [3].
RF00169	Bacteria_small_SRP	Bacterial small signal recognition particle RNA	Gene;	Eukaryota; Bacteria; Archaea; 	The signal recognition particle (SRP) is a universally conserved ribonucleoprotein involved in the co-translational targeting of proteins to membranes. The eukaryotic SRP consists of a 300-nucleotide 7S RNA (RFAM:RF00017) and six proteins: SRPs 72, 68, 54, 19, 14, and 9. Archaeal SRP consists of a 7S RNA and homologues of the eukaryotic SRP19 and SRP54 proteins. In most bacteria, the SRP consists of a 4.5S RNA and the Ffh protein (a homologue of the eukaryotic SRP54 protein). Some Gram-positive bacteria (e.g. Bacillus subtilis) have a longer eukaryote-like SRP RNA that includes an Alu domain [2]. The Alu domain of the longer SRP RNAs is not included in this model and therefore the reported bounds of some members are incorrect. The Signal Recognition Particle Database (SRPDB) [1] provides compilations of SRP components, with phylogenetic data and structural illustrations.
RF00170	msr	Retron msr RNA	Gene;	Bacteria; 	Retron elements are found in a wide range of mainly Gram-negative bacteria. The retron encodes a reverse transcriptase that is responsible for the production of a small satellite DNA called msDNA (multi-copy single-stranded DNA). msDNA has both DNA (encoded by the retron msd gene) and RNA (encoded by the msr gene) components. The 5' end of msDNA is linked to an internal guanosine residue of the RNA strand by a 2'-5' linkage. The components of msDNA are poorly conserved in sequence between different organisms -- this family therefore represents only a subset of known msr genes. Despite considerable investigation, very little is known about the function of msDNA, the mobility of retron elements, or their effect on the host cell.
RF00171	Tombus_5	Tombusvirus 5' UTR	Cis-reg;	Viruses; 	Tomato bushy stunt virus is the prototype member of the Tombusviridae family. In addition to viral proteins p33 and the RNA-dependent RNA polymerase p92, and unknown host factors, RNA signals within the UTRs are necessary for genome replication. 2 RNA domains in the 5' UTR have been reported [1,2], a 5' T-shaped domain (TSD) followed by a stem-loop (SL5) and a downstream domain (DSD). These domains are combined into a single family here. Reference [2] proposes that TSD-DSD interactions are involved in the mediation of viral RNA replication. The full alignment of this family contains a number of defective interfering (DI) deletion mutants, used to study RNA virus replication.
RF00172	CAESAR	ctgf/hcs24 CAESAR	Cis-reg;	Eukaryota; 	The 3' UTR of human connective tissue growth factor/hypertrophic chondrocyte specific 24 (ctgf/hcs24) mRNA has been shown to repress ctgf gene expression [1]. Reference [2] identified a minimal RNA element, predicted to form a stable secondary structure, which acts as a post-transcriptional cis-acting element of structure-anchored repression (CAESAR), probably through direct interactions with as yet unknown nuclear factors.
RF00173	Hairpin	Hairpin ribozyme	Gene; ribozyme;	Viruses; 	The hairpin ribozyme, like the hammerhead (RFAM:RF00008 and RFAM:RF00163), is found in RNA satellites of plant viruses. It was first identified in the minus strand of the tobacco ringspot virus (TRSV) satellite RNA where it catalyses a self-cleavage reaction to process the products of rolling circle virus replication to unit-length satellite RNA. The structure consists of 2 domains, A and B. The 3' arm of domain A, which closes helices 1 and 2, contains the cleavage site and is linked to helix 3 of domain B by a linker of variable length and sequence. This region is thus not included in this family. The hairpin ribozyme has been identified in only 3 plant satellite RNAs -- from TRSV, chicory yellow mottle virus (CYMV) and arabis mosaic virus (ARMV).
RF00174	Cobalamin	Cobalamin riboswitch	Cis-reg; riboswitch;	Eukaryota; Bacteria; Viruses; 	Riboswitches are metabolite binding domains within certain messenger RNAs that serve as precision sensors for their corresponding targets. Allosteric rearrangement of mRNA structure is mediated by ligand binding, and this results in modulation of gene expression [1]. This family represents a cobalamin riboswitch (B12-element) which is widely distributed in 5' UTRs of vitamin B(12)-related genes in bacteria. Cobalamin in the form of adenosylcobalamin (Ado-CBL) is known to repress expression of genes for vitamin B(12) biosynthesis and be transported by a post-transcriptional regulatory mechanism, which involves direct binding of Ado-CBL to 5' UTRs [2].
RF00175	HIV-1_DIS	Human immunodeficiency virus type 1 dimerisation initiation site	Cis-reg;	Eukaryota; Viruses; 	This cis element is composed of four hairpins called SL1 to SL4 (SL is for Stem Loop). This element is involved in encapsidation of the retroviral RNA an essential step in replication [1-3]. It is found in HIV, SIV and CIV. It has been shown that SL1 may provide a secondary binding site for Rev [4]. SL1 [5], SL2 [6], SL3 [7] and SL4 [8] have been independently expressed and structurally characterised.
RF00176	Tombus_3_IV	Tombusvirus 3' UTR region IV	Cis-reg;	Viruses; 	Tomato bushy stunt virus is the prototype member of the Tombusviridae family. In addition to viral proteins p33 and the RNA-dependent RNA polymerase p92, and unknown host factors, RNA signals within the UTRs are necessary for genome replication. This element contains a pseudoknot [2].
RF00177	SSU_rRNA_bacteria	Bacterial small subunit ribosomal RNA	Gene; rRNA;	Eukaryota; Bacteria; Viruses; Archaea; Viroids; 	\N
